Model ranking;ranking;ind;relevance;review
0;41;62;0.5946607006912485;m long time fan p90x system simply put single greatest workout system home otherwise ever created fact nearly perfect except 10 30 45 minute options unless want repeatedly skip second half time n nthis video series partially corrects allowing customizable workout session consisting fast warmup quick cooldown choice several 10 minute workouts between n nand 10 minute workout best 15 20 minute workout choose single session 25 35 minute workout choose one recommended combinations 2 3 workouts plus warmup cooldown n nand rushed moves fast fact fast cuts places order trim seconds video model instantaneously changes poses n ndo expect keep first day tony attempts varying success combine several exercises single move warrior lunge successfully requires good mental physical discipline good balance time saver make mental commitment n nif time long workout even three days week buy p90x beat system nif time medium length workout 5 7 days week try p90 original nif absolutely must workout less 20 minutes 10 minute trainer busiest people n nnot laziest least motivated people seriously busy discipline get 15 20 minute workout order save 30 45 minutes n nif would like relaxing 10 minute series reasonable amount variety recommend yoga 10 minute solution one family videos better workout people want maintain health flexibility without hardcore style tony horton n nabout production quality modern p90 less sophisticated p90x production quality strange mixed produced home video professional camera work cuts rough tony often loses track camera looking around lost tony spends good part time narrating commenting model form fine appropriate role trainer fitness model fact much content must packed tight space video shot sort fitness studio large unmarked steel door glass window contains looks like might part logo n np90x contrast appearance completed single take camera transitions excellent tony always spot music complements workouts tony workouts time studio custom built specifically produce p90x series simply amazing
1;58;108;0.5414866294016819;10 minute training program great get best results re going really 30 minutes three workouts day still bad n noverall think great program experienced exercisers looking change things new working out n ntony really packs lot 10 minute segments really funny entertaining like personal trainer n nhowever abs workout fabulous relies lot core work unless core already strong using arms hip flexors mostly ideal n nthe yoga flex portion also little weak already yoga may find much easy n ni m pretty fit little sore first days program expensive see using long time
2;3;125;0.5299924465063738;regularly exercising 30 years must say horton workouts beginners really know re modify workouts particular body type injuries etc n nas working mom days get gym devote half hour tops working bought system supplement workout routine n nif 10 minutes 10 minute cardio yoga flex lower body 10 minutes actually 12 13 clock stops move also takes long time switch back forth cds frustrating n nif 30 minutes another beach body system yoga booty ballet kathy smith find transitions cueing much better rough body n nfinally enjoy beach body programs find infomercials come end dvd disruptive loud annoying completed yoga workout want screaming announcer immediately come try sell something completely destroys relaxation worked hard achieve
3;107;73;0.5142654781656761;wife using 10 minute trainers awhile really enjoy fact video broken 10 exercises 1 minute long helps us push come one minute videos push feel forced over exert yourself n nalso series modular able customize daily workout routine example mondays wednesdays fridays total body cardio twice tuesdays thursdays lower body abs yoga flex saturdays total body cardio yoga flex take sundays off n nmy wife routine videos nice re committed whole 45 minute workout video want work specific area particular video twice n nwe really enjoy way workouts flow tony pays close attention making sure get even workout sides body get work etc strangely rare workout videos n ni recommend videos anyone interested developing healthy lifestyle
4;115;26;0.5008140862401073;workout everything needed condensed 10 minute workouts perfect always go mothers seen really good results program n ni recently another child eager get body back realize shape popped dvd began workout boy sweating butt 10 minutes could gym workout hour never m telling really work time goes quickly 10 minutes day started workout june lost 29lbs thus far n ni wanted try insanity back injury would allow movements also beginner level trying get back shape n na must buy
5;16;43;0.494216887319355;ordered tony horton 10 minute trainer almost year ago seeing infomercial tv looking get back shape worried time 10 minute idea sounded really interesting ordered decided follow program see happened n ni say workout calender really calls 3 10 minute workouts day effective also short warm cool downs exactly 10 minutes close decided follow calender 3 workouts day exactly said technically 30 35 mins workout days n nwith said see incredible results day 10 14 noticed pants started feeling little loose around waist moment realized working motivated keep going 15 20 lbs weight time wanted change losing 1 2 lbs week program obviously eating right important well eat perfect need clean diet make healthier choices n ntrust though start seeing results wo cravings eat junk anymore moved extreme workouts credit program getting back working healthier path highly recommend
6;121;116;0.4794980434925843;photo ad misleads customer receive cardio belt resistance band extra products appear photo get abs 10 day lean jeans totally misleading seller show selling 2 cds tony horton 10 minute trainer 3 workouts total body lower body abs 2 workouts cardio yoga flex n ni enjoy expected n ni rate product 4 stars awesome workout quick burning entire office working dvd every night helps alot n nthanks tony horton pushing
7;43;49;0.46278189080866194;ordered product two years ago used every morning m f 4 months definitely noticed difference body flatter tummy toned arms legs energy though great lasted eventually got bored tony horton great trainer little cheesy times gives laugh middle workout stopped using workouts simply excited workout anymore probably would happened videos better music pump point re type person needs upbeat environment stick program probably prefer calm low key environment get fit perfect you n ni used program several months currently shopping another workout program use home one thing miss terribly 10 15 minute workouts wish trainers would try develop shorter workouts
8;92;66;0.45638367214514963;someone done insanity p90x knew beachbody puts quality product saw infomercial knew get 10 minutes insanity p90x require much time two kids 6 happening get 15 minutes earlier morning watch 15 minutes less tv night already seen body change 1 1 2 weeks long eat right 10 minute workout increase weight loss tighten body say 10 minutes kidding really excuse moves challenging workout quality workouts best ones build towards something able perfectly start get product well worth money
9;88;16;0.3562121240141694;workout great ten minutes definitely feeling burn major drawback workouts separate discs 3 10 minute workouts effectiveness one workout stop eject disc load another wait ads play second workout stop eject disc load another wait ads play third workout meanwhile muscles screaming great workouts warmed worked improperly cooled worked improperly cooled worked cooled down n nso great workouts plan follow calendars system screwed stick one disk multiple workouts
