Model ranking;ranking;ind;relevance;review
0;122;109;0.5771854822924498;possibly absorb film one viewing says bob guccione magnum opus caligula pity film chore sit even despite clear aim shock offend caligula manages interminable bore way andrew dice clay films n nhelen mirren one several what the hell are you doing here members cast commented film s irresistible mixture art genitals genitals right little art display save perhaps nicely designed sets irresistible acting ranges passable atrocious script idea going trying say virtually nothing film dramatic impact whatsoever impossible furthermore give damn characters apart caligula s sister drusilla role teresa ann savoy actually acquits fairly well manages escape dignity intact anyone else cast n nmaybe aspects film interests know even guilty pleasure film astonishingly unentertaining quest notoriety filmmakers crammed nearly every frame full depravity one sort another difficult imagine non porn film nudity sex nearly footage unpleasant apart not bad hardcore footage leonard maltin refers s nothing even remotely titillating let alone erotic entire film notorious graphic violence aged well s still unpleasant enough rather shock tends simply embarrass think film hit rock bottom malcom mcdowell crams fist somebody s butt waiter check please n nthe dvd features sorriest excuse restored version ever seen image grainy occasionally ill focused sound ranges good lousy one bright spot really reason check dvd perversely fascinating documentary entitled making gore vidal s caligula hour long poorly filmed feature gives ample insight laughable pretensions guccione et al includes film s naughtiest bits besides god knows audience intended n ncaligula failure every level see must n t say n t warn want porn get porn want graphic violence get robocop want hammy historical epic get cleopatra want good one well m afraid ca n t really help hand re still curious get dvd skip movie watch documentary instead trust wo n t missing anything
1;19;42;0.5646311968692547;caligula blu ray imperial edition identical content dvd edition reviewed last year exclusive content high def release call high def n t really correct n t suppose caligula ever going look great even bluray nevertheless bluray transfer offers bit improvement dvd version especially alternative version print alternative footage re mastered edition footage matches quality rest film huge improvement dvd left new footage faded dirty colors caligula never looked better although still excessive amount grain many scenes due condition source material edition includes smaller sized version booklet included dvd edition sadly beautiful fold packagaing slipcase replaced cheap standard blu ray case edition 2 discs instead three love caligula collect various video releases film release must best caligula ever looked although still far perfect n ndvd review n nthis new edition caligula entirely superior previous video release film fact suspect probably looks better theatres image spared expense stuning imperial edition lavish luxurious would doubt pleased emperor caligula important feature release course film looks sounds ve owned every previous release film including beta video tape laserdisc truly felt like watching movie first time caligula never going look sharp clear simply way tinto brass photographed think edition film s ultimate form colors bright vibrant background details awesome sets danilo donati seen first time lines dialogue never able make come clearly speakers first time simply amazing image done prints speaking entirely new cut film masterwork gone bob guccione s hardcore pornography lets face instead able see first time beautiful footage brass shot scenes like tiberius grotto bordello ship film also unfolds differently scenes restored intended running order scripted gore vidal woods sequence longer opens film appears extended form never seen footage s proper place middle film say editing new footage bit rough appear cleaned much rest film stock minor complaint still much edition caligula two cuts film three theatrical trailers real treasures also three marvelous commentary tracks malcolm mcdowell helen mirren journalist ernest volkman often humorous commentaries alone would worth price video much half hour interview john longinus steiner full half hour interview lori wagner actress played agripina messillina guccione porn footage importantly depth interview director tinto brass fascinating still hours worth deleted extended scenes footage remastered often rough shape still amazing see also around hours worth behind scenes footage documentary making gore vidal s caligula imported 20th anniversary dvd release time two versions one long one short believe also extensive still photo archives take long time watch trust photos worth looking show lot caligula made loads photos tinto brass directing well fotos gore m taking name vidal set enough put disc computer read one two versions gore vidal screenplay well complete novel based screenplay also photos penthouse pets porno footage well unintentionally funny interview bob guccione owe great debt bob without would caligula least know today ve got ta say comes pretty crazy fellow magazine interviews blathering interminably art excellence trying appear sophisticated doubled laughter surprisingly one commentaries interviews much nice say tinto brass gives easiest time suppose bob decided take already risque film insert explicit porn doubt much whether would still sitting around talking caligula today best worlds love caligula porno aspects disc one love caligula historical art film disc two want cool fast paced sword sandal kind thing version share grandmother buy new r rated release sold seperately also looks sounds spectacular forgot mention imperial edition comes high quality slip case fold inner keepcase beautiful artwork cast three discs feature photo different cast member mcdowell mirren o toole certainly longest review ever wrote amazon also spectacular release ever seen dvd truly sets new standard special edition congratulations involved
2;71;38;0.5260296674894342;ahh caligula perplexing film sheer shock value films n t get much better better relative term necesarily denote quality work dvd set great n nthough probably never approved directors cut second disc dvd something approximating tinto brass s vision film however still plenty obvious editing issues overall seems due rewrites production issues even version lacking s primary difference drops bob guccione penthouse sequences feature explicit sexual scenes brass s shots pretty intense though would still imagine film would earn nc 17 rating even form n nthere tons great extras among multiple commentary tracks second disc trailers new interviews addition deleted scenes raw form s kind bore watch d rather many extras enough general come appreciate bizarre troubled film
3;4;44;0.5230499126377224;new imperial 3 disc edition caligula image penthouse everything kitchen sink affair must buy fans film offers two unique ways viewing infamous film known mostly peversity n ndisc one contains unrated x rated version including bob guccione inserted scenes somewhat hardcore sex acts editing little guccione assembled cut tinto brass directed put scenes order thus blurring narrative character development n ndisc two contains pre release cut film without hardcore scenes logical progression scenes assembled depict order tinto brass wanted runs 3 minutes shorter ll notice alternate footage many scenes three commentaries delivered version malcolm mcdowell one helen mirren second ernest volkman final track joined authors film critics help keep conversation flowing topic also included dozen cut alternate takes n nthe third disc contains featurettes interviews archival footage production 1980 documentary proves interesting provides graphic footage n nthe transfer improved still looks blurred lacking contrast reason movie shot like magazine spread soft focus cameras s never super clear s plenty grain digital artifacts contend with n nthis best film ever looked tons extra material wade dream collectors nightmare detractors film dispassionate brutal depicting every peversity could imagine costumes sets amazing including five story machine decapitates heads colisseum breathtaking wrong reasons caligula ego control oddly enough made suffered malady
4;40;100;0.5119225463955386;describe caligulia controversial film era debatable certainly one embarassing virtually every big name associated film made effort distance author gore vidal actually sued mixed results name removed film stars saw film reactions varied loudly voiced disgust strategic silence wanted course go away nfor looked like might caligula major box office critical flop producer guccione rent theatres order get screened although film released vhs home market many censorship issues raised re edited edited version one widely available decade caligulia dvd available edited r original unrated versions doubt gielgud glad n t live see happen nthe way describe caligulia say something like deep throat meets david lynch s dune way fellini day vidal s script fell hands penthouse publisher bob guccione used vidal s reputation bankroll project lure big name stars threw vidal s script brought soft porn director tinto brass guccione felt brass work n t explicit enough giancarlo lui photographed hardcore material sly nviewers watching edited version may wonder fuss viewing original cut quickly realize leaves absolutely nothing imagination tremendous amount nudity remains edited version original comes complete xxx scenes explicit gay lesbian straight sex kinky sex grand orgy complete dancing roman guards thrown good measure film also incredibly violent bloody rape torture mutilation order day one particularly disturbing scene man slowly stabbed death woman urinates corpse genitals cut thrown dogs nin accompanying documentary guccione states wanted film reflect reality pagan rome missed mark know little caligula little know questionable best aside orgies casual sex commonplace roman society adultry offense punishable death certainly ancient rome never looked like strange slightly oriental oddly space age sets costumes offered designers non plus side sets costumes fantastically beautiful although cinematography commonplace least justice score also good successful member cast helen mirren manages engage interests sympathies empress caesonia gielgud o toole also escape reasonably good form said mcdowell justice n t much work dvd film presented original ratio term restored applies previously censored scenes film quality so so unintentionally hilarious documentary also included disk nmy final thoughts movie possess dark fascination ultimately oddity interesting design flat out weirdness content bodies display including mcdowell s extremely beautiful sex scenes work well pornography distasteful might drive abstenance bloody grotesque nature film undercuts eroticism re worth seeing likely enough suggest rent first
5;13;92;0.5105238421742246;feel slightly embarrassed tell people much love film see looks get film guiltiest pleasure porn n t urge view porn caligula first film rent much plot many hardcore sex scenes part enormous failed experiment bring porn scenes legitimate film n t work film disaster film entertaining first time see wo n t believe re watching ll asking etc regardless love hate ll sit entire two half hours morbid curiosity bewilderment impulse makes slow drive past accident highway m quite sure gore vidal thinking would n t think got bob guccione tinto brass involved film would overflowing sleaze gore ca n t dumb documentary s hilarious watch talk historical philosophical importance movie bet feels like total schmuck totally ashamed thinks back d love ask film tries accurate take seriously drama lets cut guccione merely using way push sleaze mainstream become innovative genius public s eye sex scenes sleazy disgusting re usually sandwiched scenes graphic violence making devoid kind erotic value love showing lending movie unsuspecting friends coworkers family get reaction never another movie like caligula ever see remember rest days warning though n t watch first date wo n t impressed
6;25;24;0.4107670136659666;s hard view film divorced controversy see spliced in pornographic acts performed film sumptuously photographed blurs aesthetics mine anyway whatever final opinion definitely never boring along nearly constant atrocities stemming complete abuse debasement power stunning visuals going therefore revitalized hi def transfer makes excellent opportunity see afresh watching nbsp data hook product link linked class a link normal href caligula blu ray dp b001dwnuco ref cm cr arp d rvw txt ie utf8 caligula blu ray a imperial edition delving extras ve concluded despite many flaws indeed good film accounts could great film often case ambitious visions conflicts led many compromises eventuating one s satisfaction never critical consensus still anyone interested films conclude merits edition makes obvious n nto sum malcolm mcdowell plays caligula mirthfully cruel irreverent giddily insane john gielgud making early departure plays erect shakespearean dignity tiberius friend wise nerva contemptuous inevitable scenario rome s decline caligula s ascendancy peter o toole portrays tiberius demoralized sardonically embittered trappings power face scabby scalp clumpy ravages syphilis tiberius dies actors major theater credentials exit relatively early caligula playground rome himself n nhaving never seen remastered sd special edition released couple years ago m unable compare image quality transfer nbsp data hook product link linked class a link normal href caligula blu ray dp b001dwnuco ref cm cr arp d rvw txt ie utf8 caligula blu ray a state certainty blu ray edition far superior initial dvd issued back 1990s art director costume designer danilo donati gave cinematographer silvano ippoliti lively palette grand designs work s illuminated age print apparent times hi def transfer revives lost vibrancy draped luxury pillared architecture aside brighter picture s cornucopia tucked away special features n nthe extras include two versions making caligula interviews 30 minutes director tinto brass actor john steiner portrayed longinus penthouse pet lori wagner hindsight realizes way head thanks blind ambition three audio commentaries mcdowell helen mirren on set writer ernest volkman alternate pre release version film rounding set usual odds ends deleted scenes theatrical trailers two disc edition comes 15 page booklet detailing film s troubled production essayist r j buffalo concludes passionately full restoration original vision order s hell freezes over probability artifacts among bonus features s obvious two immutable creative forces direct conflict gore vidal wrote original screenplay eventually disavowed film director brass altered caligula presented must come interpretation script vidal s earlier version included dvd rom extra lot dialogue retained word word one hand brass wanting sexually explicit anarchistic romp vidal s depiction caligula derisive ruling class abuses power mockery result schizophrenic montage judgment vidal s vision edges ahead slightly time get explicit sex re festivities d want invited question remains whose vision would final edit restored n
7;77;28;0.34637463257574297;s nearly 30 years since caligula released onto expectant correct say unexpectant global cinema audience disappointed stage cinema royalty including sir peter o toole sir john gielgud dame helen mirren gielgud knighted time joined malcolm mcdowell collection italian european actors orgy violence sex included graphic xxx pornography taken directly pages seutonius chapter caligula second century book twelve caesars n nthis marvellous 3 disc dvd set contains fascinating documentaries featuring extensive interviews producer bob guccione writer gore vidal shot time production full uncut 156 minute version features first disc second disc shorter version wonderful commentary tracks mirren mcdowell alas 200 plus minute guccione edited version rumoured shown preview audiences italy included set fact may longer exist n nit well known film vidal wrote director tinto brass shot finally released guccione took control editing shut brass production bridge huge continuity gaps guccione editors extensively used out takes rehearsal footage rescued rubbish bins documentary material provides fascinating information might masterpiece brass allowed edit film shot pick shots retakes shooting much needed new scenes would become self evident editing stage n nthanks documentary material get fully appreciate incredible production design magnitude details various sets beautiful costumes made production designer danilo donati team always evident finished film n nthere wonderful interview erudite john steiner british actor built short spectacular career italian exploitation films 1970s steiner shaved head play slimey longinus character real estate agent england steiner s witty comments making film worth price dvd set alone n nas time goes caligula continue restudied reassessed doubt gain stature unlike caligula film cinema legend lost 1937 claudius featuring charles laughton claudius emlyn williams caligula ample material study assess thanks excellent dvd collection
8;84;11;0.3342729278250529;brief caligula 5 star film s realistic portrayal decadent rome maybe little top sex scenes though standard dvd version visually superior bd version blu ray version needs re processed facilitate clearer picture product gives blu ray bad name two stars blu ray version
9;60;21;0.2854558688091882;save money n t buy blu ray version worst transfer ve ever seen looks worse vcr copy know n t filmed hi def n t expect hi def ve bought plenty movies blu ray old films junk absolutely remastering
